OBJECTID,BIKEFACID,BIKETYPE,BIKE_NAME,STREETNAME,IMPLEMENT,PILOT_PERM,ONE_SIDE,DIRECTION,INSTYR,PROT_TYPE,TRIPLE_A,ADDDATE,MODDATE,SDATE,SOURCE,SACC,Shape__Length
1,BIKEFAC2996,Multi-use Pathway,Atlantic View Trail,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,15159.80174
2,BIKEFAC2997,Multi-use Pathway,Gaetz Brook Connector,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,2860.942236
3,BIKEFAC2998,Multi-use Pathway,Gaetz Brook Connector,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,591.6733855
4,BIKEFAC2999,Multi-use Pathway,Shearwater Flyers Trail,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,10711.48824
5,BIKEFAC3000,Multi-use Pathway,Gaetz Brook Connector,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,565.8143388
6,BIKEFAC3001,Multi-use Pathway,Gaetz Brook Connector,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAILS GROUP,Interactive,1857.462334
7,BIKEFAC3002,Multi-use Pathway,Blueberry Run Trail,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,149.9230544
8,BIKEFAC3003,Multi-use Pathway,Shearwater Flyers Trail,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,115.8102668
9,BIKEFAC3004,Multi-use Pathway,Gaetz Brook Connector,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,3661.999922
10,BIKEFAC3005,Multi-use Pathway,Blueberry Run Trail,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,717.9967938
11,BIKEFAC3006,Multi-use Pathway,First Lake Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,2894.011827
12,BIKEFAC3007,Multi-use Pathway,Second Lake Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,4497.076079
13,BIKEFAC3008,Multi-use Pathway,Bedford Sackville Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,4970.80816
14,BIKEFAC3009,,,,,,,,,,,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,419.0916188
15,BIKEFAC3010,,,,,,,,,,,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,PICTOMETRY,Interactive,137.5459113
16,BIKEFAC3011,Multi-use Pathway,Dewolf Park Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,2137.637296
17,BIKEFAC3012,Multi-use Pathway,Mainland Linear Greenway,,Full,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,700.4885699
18,BIKEFAC3013,Multi-use Pathway,Mainland Linear Greenway,,Full,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,394.5516086
19,BIKEFAC3014,Multi-use Pathway,Mainland Common Linear Greenway,,Partial Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,652.306486
20,BIKEFAC3015,Multi-use Pathway,Mainland Linear Greenway,,Full,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,690.2219263
21,BIKEFAC3016,Multi-use Pathway,Mainland Linear Greenway,,Full,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,1230.683279
22,BIKEFAC3017,Multi-use Pathway,Mainland Linear Greenway,,Full,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,572.0471938
23,BIKEFAC3018,Multi-use Pathway,Mainland Linear Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAIL,Interactive,313.737112
24,BIKEFAC3019,Multi-use Pathway,Mainland Linear Greenway,,Full,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,503.353842
25,BIKEFAC3020,Multi-use Pathway,Mainland Linear Greenway,,Full,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,1501.367484
26,BIKEFAC3021,Multi-use Pathway,Mainland Linear Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAIL,Interactive,44.85866869
27,BIKEFAC3022,Multi-use Pathway,Mainland Linear Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAIL,Interactive,29.44892379
28,BIKEFAC3023,Multi-use Pathway,Regatta Point Walkway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,30.88987546
29,BIKEFAC2970,Multi-use Pathway,Ahern MUP,Ahern,Full Implementation,Permanent,East Side,Bidirectional,2019,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,,,540.9413456
30,BIKEFAC2971,Painted Bike Lane,Bell North Painted Bike Lane,Bell,Full Implementation,Permanent,South Side,Unidirectional Eastbound,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,,,439.3905894
31,BIKEFAC2972,Protected Bike Lane,Rainnie Bidirectional Bikeway,Rainnie,Full Implementation,Pilot,South Side,Bidirectional,,Flexible bollards,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,,,438.959199
32,BIKEFAC2973,Suggested Bike Route on Main Road,Petpeswick Loop,,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,28128.13937
33,BIKEFAC2974,Suggested Bike Route on Main Road,West Jeddore Pleasant Point Loop,,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,54918.99092
34,BIKEFAC2975,Suggested Bike Route on Main Road,Porters Lake Chezzetcook Loop,,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,50773.59237
35,BIKEFAC2976,Suggested Bike Route on Main Road,Clam Harbour Loop,,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,55159.99526
36,BIKEFAC2977,Suggested Bike Route on Main Road,,Hwy 357,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,55215.49116
37,BIKEFAC2978,Multi-use Pathway,Chain of Lakes Trail,,Full,Pilot,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,131.67594
38,BIKEFAC2979,Multi-use Pathway,Beechville Lakeside Timberlea Rails to Trails,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,18257.30297
39,BIKEFAC2980,Multi-use Pathway,Chain of Lakes Trail,,Full,Pilot,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,193.2950685
40,BIKEFAC2981,Multi-use Pathway,Chain of Lakes Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAIL,Interactive,1692.78624
41,BIKEFAC2982,Multi-use Pathway,Chain of Lakes Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAIL,Interactive,1659.185033
42,BIKEFAC2983,Multi-use Pathway,Chain of Lakes Trail,,Full,Pilot,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,25.15792047
43,BIKEFAC2984,Multi-use Pathway,St Margarets Bay Area Rails to Trails,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,44856.4232
44,BIKEFAC2985,Multi-use Pathway,Chain of Lakes Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,11.94059077
45,BIKEFAC2986,Multi-use Pathway,Chain of Lakes Trail,,Full,Pilot,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,257.948125
46,BIKEFAC2987,Multi-use Pathway,Chain of Lakes Trail,,Full,Pilot,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,1071.485508
47,BIKEFAC2988,Multi-use Pathway,Chain of Lakes Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,3508.160032
48,BIKEFAC2989,Multi-use Pathway,Chain of Lakes Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAIL,Interactive,354.2836726
49,BIKEFAC2990,Multi-use Pathway,Chain of Lakes Trail,,Full,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,382.6205457
50,BIKEFAC2991,Multi-use Pathway,Chain of Lakes Trail,,Full,Pilot,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,827.938527
51,BIKEFAC2992,Multi-use Pathway,Cole Harbour Salt Marsh Heritage Trail,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,10447.01703
52,BIKEFAC2993,Multi-use Pathway,Shearwater Flyers Trail,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,574.3791389
53,BIKEFAC2994,Multi-use Pathway,Blueberry Run Trail,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,453.3133252
54,BIKEFAC2995,Multi-use Pathway,Blueberry Run Trail,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,1074.378689
55,BIKEFAC3106,Multi-use Pathway,,Broad St,Full Implementation,Permanent,East Side,Bidirectional,,Raised grade separation from roadway,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,426.9987483
56,BIKEFAC3107,Multi-use Pathway,Second Lake Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,26.78682901
57,BIKEFAC3108,Multi-use Pathway,Second Lake Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,1177.144904
58,BIKEFAC3109,Multi-use Pathway,Long Lake Trails,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,719.5295248
59,BIKEFAC3110,Multi-use Pathway,Long Lake Trails,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,315.7801922
60,BIKEFAC3111,Multi-use Pathway,Long Lake Trails,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,177.8125619
61,BIKEFAC3112,Multi-use Pathway,Long Lake Trails,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,43.13311608
62,BIKEFAC3113,Multi-use Pathway,Forest Hills Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,95.8912773
63,BIKEFAC3114,Multi-use Pathway,Shubenacadie Canal Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,2921.977278
64,BIKEFAC3115,Multi-use Pathway,Halifax Waterfront Boardwalk,,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,152.6063755
65,BIKEFAC3116,Multi-use Pathway,Shubenacadie Canal Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,434.6867265
66,BIKEFAC3117,Multi-use Pathway,Halifax Waterfront Boardwalk,,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,797.3923158
67,BIKEFAC3118,Multi-use Pathway,Halifax Waterfront Boardwalk,,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,290.9091689
