OBJECTID,IMPMAPID,IMP_PROP,BIKE_NAME,BIKESTATUS,ADDDATE,MODDATE,SDATE,SOURCE,SACC,Shape__Length
1517,IMPMAP367,Multi-use Pathway,Dartmouth Harbourfront Greenway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,730.8315304
1518,IMPMAP368,Multi-use Pathway,Dartmouth Harbourfront Greenway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,185.0401409
1519,IMPMAP369,Local Street Bikeway,True North Crescent Local Street Bikeway,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,59.97269221
1520,IMPMAP370,Protected Bike Lane,Wyse Rd Protected Bike Lanes,In Design,2019-04-29T12:34:10.000Z,2019-04-29T12:39:55.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,20.23303477
1521,IMPMAP371,Multi-use Pathway,Woodside Ferry Terminal Connector,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,189.6414491
1522,IMPMAP372,Multi-use Pathway,Bayers Rd Bikeway,In Design,2019-04-29T12:34:10.000Z,2019-04-29T12:39:55.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,514.4616278
1523,IMPMAP373,,,,2019-04-29T12:34:10.000Z,2019-04-29T12:39:55.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,554.5659461
1524,IMPMAP375,,,,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,554.5659461
1525,IMPMAP377,Multi-use Pathway,Halifax Common Pathways,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,554.5659461
1526,IMPMAP378,Multi-use Pathway,Halifax Common Pathways,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,600.5092475
1527,IMPMAP379,Multi-use Pathway,Poplar Multi-Use Pathway (part of Cogswell),In Design,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,667.0058462
1528,IMPMAP380,Multi-use Pathway,Dartmouth Harbourfront Greenway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:59.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,81.15954872
1529,IMPMAP381,Multi-use Pathway,Dartmouth Harbourfront Greenway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,102.8930722
1530,IMPMAP382,Multi-use Pathway,Dartmouth Harbourfront Greenway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,29.82800037
1531,IMPMAP383,Multi-use Pathway,,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,79.91408345
1532,IMPMAP384,Multi-use Pathway,,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,44.68628107
1533,IMPMAP385,Multi-use Pathway,Macdonald Bridge Ramp,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,230.7779207
1534,IMPMAP386,Multi-use Pathway,Bayers Rd Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,117.0451596
1535,IMPMAP387,Multi-use Pathway,,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:55.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,348.9080758
1536,IMPMAP249,Protected Bike Lane,South St Protected Bike Lanes,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,130.6391484
1537,IMPMAP250,Protected Bike Lane,South St Protected Bike Lanes,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,117.435358
1538,IMPMAP255,Protected Bike Lane,Windsor Street Protected Bikeway,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,152.1113053
1539,IMPMAP256,Protected Bike Lane,Windsor Street Protected Bikeway,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,76.32498128
