OBJECTID,TYPE,PERMIT_NO,START_DATE,END_DATE,COMMENTS,ADDDATE,MODDATE,STREET_NAME,FROM_STR,TO_STR,RDMID,Shape__Length
2624,Sidewalk Closed,170816,2019-06-01T03:00:00.000Z,2021-10-31T03:00:00.000Z,Sidewalk and parking lane closure on Brunswick Street. Cogswell sidewalk to be closed and temporary protected sidewalk to be constructed for pedestrians.,2019-04-24T17:12:51.000Z,2019-05-10T13:20:59.000Z,COGSWELL ST,BRUNSWICK ST,GOTTINGEN ST,705,96.25186287
2625,Sidewalk Closed,152969,2016-05-30T03:00:00.000Z,2019-10-31T03:00:00.000Z,sidewalk open on Barrington and Sackville. Sidewalk Closed on Granville,2019-04-24T17:12:51.000Z,2019-05-10T13:29:31.000Z,BARRINGTON ST,BLOWERS ST,SACKVILLE ST,642,45.25555852
2628,Sidewalk Closed,159519,2017-06-27T03:00:00.000Z,2019-05-31T03:00:00.000Z,,2019-04-24T17:12:51.000Z,2019-05-10T13:26:57.000Z,CLYDE ST,BIRMINGHAM ST,DRESDEN ROW,654,90.93343511
2630,Sidewalk Closed,168082,2018-11-08T04:00:00.000Z,2020-10-31T03:00:00.000Z,,2019-04-24T17:12:51.000Z,2019-05-02T16:59:25.000Z,FENWICK ST,QUEEN ST,LUCKNOW ST,700,85.57580121
2634,Sidewalk Closed,166055,2018-04-16T03:00:00.000Z,2019-10-31T03:00:00.000Z,,2019-04-24T17:12:51.000Z,2019-05-15T16:47:44.000Z,SEYMOUR ST,COBURG RD,UNIVERSITY AVE,671,70.62692587
2636,Sidewalk Closed,157600,2016-01-04T04:00:00.000Z,2019-10-31T03:00:00.000Z,,2019-04-24T17:12:51.000Z,2019-05-16T14:56:55.000Z,BISHOP ST,HOLLIS ST,LOWER WATER ST,680,73.79236323
2637,Sidewalk Closed,168090,2018-12-04T04:00:00.000Z,2021-10-31T03:00:00.000Z,,2019-04-24T17:12:51.000Z,2019-05-10T13:19:41.000Z,PORTLAND PL,GOTTINGEN ST,BRUNSWICK ST,701,72.79221402
2638,Sidewalk Closed,170412,2019-03-01T04:00:00.000Z,2021-10-31T03:00:00.000Z,,2019-04-24T17:12:51.000Z,2019-05-10T13:18:46.000Z,GOTTINGEN ST,CUNARD ST,BUDDY DAYE ST,706,78.34255999
2639,Sidewalk Closed,170816,2019-06-01T03:00:00.000Z,2021-10-31T03:00:00.000Z,Sidewalk and parking lane closure on Brunswick Street. Cogswell sidewalk to be closed and temporary protected sidewalk to be constructed for pedestrians.,2019-04-24T17:12:51.000Z,2019-05-28T12:22:42.000Z,BRUNSWICK ST,COGSWELL ST,PORTLAND PL,704,102.400486
2644,Sidewalk Closed,166051,2018-05-08T03:00:00.000Z,2019-06-28T03:00:00.000Z,,2019-04-24T17:12:51.000Z,2019-05-15T16:49:13.000Z,COBURG RD,LARCH ST,LILAC ST,688,55.98713305
2645,"Lane Closed, Sidewalk Closed","165823 Const Permit, 167247 Encroach",2018-05-30T03:00:00.000Z,2019-12-31T04:00:00.000Z,"3.2m lane width on Brenton Street with parking removed, one way street.
3.3m lane width on Brenton Place, also one way street",2019-04-24T17:12:51.000Z,2019-05-15T18:47:17.000Z,BRENTON ST,BRENTON PL,SPRING GARDEN RD,689,98.83194635
2646,Temporary Sidewalk,158270,2017-03-28T03:00:00.000Z,2019-12-31T04:00:00.000Z,offset sidewalk on street for Almon St and Gottingen St. sidewalk closed on Bloomfield St section,2019-04-24T17:12:51.000Z,2019-05-15T19:04:12.000Z,ALMON ST,GOTTINGEN ST,ISLEVILLE ST,649,69.85316253
2647,Sidewalk Closed,171504,2019-01-09T04:00:00.000Z,2020-01-31T04:00:00.000Z,,2019-04-24T17:12:51.000Z,2019-05-10T13:15:10.000Z,CHAIN LAKE DR,LAKELANDS BLVD,HOBSONS LAKE DR,703,65.3739174
2649,Sidewalk Closed,167134,2018-05-14T03:00:00.000Z,2020-05-14T03:00:00.000Z,,2019-04-24T17:12:51.000Z,2019-05-10T13:23:04.000Z,ISLEVILLE ST,BILBY ST,MACARA ST,693,44.22605564
2653,Sidewalk Closed,171504,2019-01-09T04:00:00.000Z,2020-01-31T04:00:00.000Z,Road Shoulder closed to facilitate construction,2019-04-24T17:12:51.000Z,2019-05-10T13:11:47.000Z,LAKELANDS BLVD,CHAIN LAKE DR,ST MARGARETS BAY RD,702,119.6092525
2654,Sidewalk Closed,159519,2017-06-27T03:00:00.000Z,2020-06-30T03:00:00.000Z,,2019-04-24T17:12:51.000Z,2019-05-10T13:26:02.000Z,DRESDEN ROW,CLYDE ST,SPRING GARDEN RD,656,110.0198561
