OBJECTID,CLOSURE_TYPE,CLOSURE_STAGE,START_DATE,END_DATE,START_TIME,END_TIME,ALT_START_DATE,ALT_END_DATE,REOPEN_EVENINGS,REOPEN_WEEKENDS,PERMIT_NO,APPLICATION_DATE,DETOUR_URL,COMMENTS,ADDDATE,MODDATE,ALT_DATE_USED,STREET_NAME,FROM_STR,TO_STR,RDMID,Shape__Length
17064,Construction,Approved,2019-04-01T03:00:00.000Z,2019-08-15T03:00:00.000Z,5AM,7PM,,,No,No,TBD,2019-03-11T03:00:00.000Z,Chebucto and Connaught,"Quinpool Road will be closed to repair the bridge over the rail cut. Local Traffic will be permitted to enter from the Rotary and from COnnaught Ave, but no through traffic will be able to cross the bridge between MacDonald and Armview.",2019-03-27T15:48:22.000Z,2019-05-15T18:24:59.000Z,,QUINPOOL RD,CONNAUGHT AVE,ARMDALE ROT,2897,1782.253913
17066,Construction,Approved,2019-05-01T03:00:00.000Z,2019-06-30T03:00:00.000Z,7AM,7PM,,,Yes,,170829,2019-04-26T03:00:00.000Z,,,2019-04-30T12:23:42.000Z,2019-04-30T12:23:42.000Z,,CORONATION AVE,HILLCREST ST,BIRCH ST,4817,808.2869097
17067,Construction,Approved,2019-05-07T03:00:00.000Z,2019-06-28T03:00:00.000Z,7:00AM,7:00PM,,,Yes,Yes,170457,2019-04-30T03:00:00.000Z,,Periodic street closure for construction activities,2019-04-30T11:35:17.000Z,2019-05-03T12:56:42.000Z,,VERNON ST,JUBILEE RD,COBURG RD,4801,542.9809362
17069,Construction,Approved,2019-06-03T03:00:00.000Z,2019-06-03T03:00:00.000Z,7:00AM,7:00PM,,,Yes,N/A,174411,2019-05-06T03:00:00.000Z,,Street recapitalization,2019-05-06T12:17:35.000Z,2019-05-06T12:31:12.000Z,,ATHORPE DR,WOODLAWN RD,LAWSON AVE,5153,592.1902273
17070,Construction,Approved,2019-06-24T03:00:00.000Z,2019-06-24T03:00:00.000Z,7:00AM,7:00PM,,,Yes,N/A,174411,2019-05-06T03:00:00.000Z,,Closure for paving,2019-05-06T12:29:22.000Z,2019-05-06T12:29:22.000Z,,ATHORPE DR,WOODLAWN RD,BOWSER AVE,5138,1182.316893
17071,Construction,Approved,2019-05-08T03:00:00.000Z,2019-06-07T03:00:00.000Z,7am,7pm,,,Yes,N/A,170829,2019-05-06T03:00:00.000Z,,,2019-05-06T14:39:11.000Z,2019-05-29T18:03:59.000Z,,CORONATION AVE,GESNER ST,HILLCREST ST,5185,824.3068007
17072,Construction,Approved,2019-05-07T03:00:00.000Z,2019-09-01T03:00:00.000Z,7AM,7PM,,,No,No,173817,2019-05-02T03:00:00.000Z,,Local access to Blink Bonnie via Churchill,2019-05-06T12:08:12.000Z,2019-05-15T19:15:35.000Z,,BLINK BONNIE TERR,MACDONALD ST,FLINN ST,5137,51.29829186
17076,Construction,Approved,2019-06-17T03:00:00.000Z,2019-06-17T03:00:00.000Z,7:00AM,7:00PM,,,Yes,N/A,174411,2019-05-06T03:00:00.000Z,,Closure for milling & grading,2019-05-06T12:24:32.000Z,2019-05-06T12:31:02.000Z,,ATHORPE DR,WOODLAWN RD,BOWSER AVE,5169,1181.149386
17077,Construction,Approved,2019-05-13T03:00:00.000Z,2019-05-31T03:00:00.000Z,7:00AM,7:00PM,,,Yes,Yes,174411,2019-05-06T03:00:00.000Z,,Rolling closures for pipework,2019-05-06T12:04:02.000Z,2019-05-06T12:29:59.000Z,,ATHORPE DR,BOWSER AVE,LAWSON AVE,5121,570.3637695
17078,Block Party,Approved,2019-06-01T03:00:00.000Z,2019-06-01T03:00:00.000Z,9AM,3PM,,,Yes,Yes,,2019-04-24T03:00:00.000Z,,,2019-05-07T15:52:42.000Z,2019-05-07T15:52:42.000Z,,HIGHLAND AVE,LEEDS ST,NORMANDY DR,5201,257.5937583
