Station Name,HALIFAX WINDSOR PARK,,,,,,,,,,,,,,,,,,,,,,
Province,NOVA SCOTIA,,,,,,,,,,,,,,,,,,,,,,
Latitude,44.66,,,,,,,,,,,,,,,,,,,,,,
Longitude,-63.61,,,,,,,,,,,,,,,,,,,,,,
Elevation,51,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,8202255,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71327,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,AHW,,,,,,,,,,,,,,,,,,,,,,
All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,
NA,Not Available,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2016-01-01 0:00,2016,1,1,0:00,1.2,,-0.1,,91,,28,,11,,,,,,,,,,NA
2016-01-01 1:00,2016,1,1,1:00,1.2,,-0.4,,89,,28,,13,,,,,,,,,,NA
2016-01-01 2:00,2016,1,1,2:00,1,,-0.8,,88,,27,,10,,,,,,,,,,NA
2016-01-01 3:00,2016,1,1,3:00,1,,-0.8,,88,,25,,9,,,,,,,,,,NA
2016-01-01 4:00,2016,1,1,4:00,0.8,,-0.4,,92,,23,,11,,,,,,,,,,NA
2016-01-01 5:00,2016,1,1,5:00,0.9,,-0.1,,93,,23,,11,,,,,,,,,,NA
2016-01-01 6:00,2016,1,1,6:00,1.2,,0,,92,,26,,10,,,,,,,,,,NA
2016-01-01 7:00,2016,1,1,7:00,1.1,,-0.2,,92,,27,,9,,,,,,,,,,NA
2016-01-01 8:00,2016,1,1,8:00,-0.3,,-1.1,,94,,29,,8,,,,,,,,-3,,NA
2016-01-01 9:00,2016,1,1,9:00,-0.1,,-1.3,,92,,30,,9,,,,,,,,-3,,NA
2016-01-01 10:00,2016,1,1,10:00,0.3,,-1.4,,89,,26,,5,,,,,,,,,,NA
2016-01-01 11:00,2016,1,1,11:00,0.4,,-1.2,,89,,24,,7,,,,,,,,,,NA
